Cell 01,Cell 02,Cell 03,Cell 04,Cell 05,Cell 06,Cell 07,Cell 08,Cell 09,Cell 10,Cell 11,Cell 12
1.063920,1.257360,1.049040,1.235040,1.011840,1.197840,1.004400,1.354080,1.034160,1.235040,1.108560,1.264800
1.071360,1.056480,1.049040,1.041600,1.004400,1.011840,1.339200,1.026720,1.242480,1.026720,1.287120,1.249920
1.101120,1.078800,1.056480,1.272240,1.049040,1.078800,1.220160,1.257360,0.989520,1.086240,1.257360,1.049040
1.257360,1.041600,1.049040,1.041600,1.227600,1.049040,1.071360,1.071360,1.034160,1.056480,1.004400,1.086240
1.049040,1.004400,1.264800,1.086240,1.041600,1.220160,1.235040,1.093680,1.272240,0.982080,1.302000,1.056480
1.034160,1.272240,0.930000,1.093680,1.227600,1.264800,1.049040,1.279680,0.996960,1.287120,1.078800,1.041600
1.279680,0.982080,1.339200,1.279680,1.272240,1.034160,1.026720,1.302000,1.026720,1.227600,1.324320,1.242480
1.316880,1.026720,1.235040,1.078800,1.235040,0.996960,1.019280,1.063920,1.056480,1.272240,1.227600,1.071360
1.279680,1.264800,1.138320,1.182960,1.227600,1.272240,1.034160,1.264800,1.034160,1.041600,1.063920,1.242480
1.316880,1.071360,1.041600,1.041600,1.205280,1.220160,,1.316880,1.309440,1.287120,1.302000,1.309440
,,1.279680,1.086240,1.049040,1.272240,,1.071360,1.049040,1.034160,1.041600,1.004400
,,1.346640,1.019280,1.279680,1.093680,,1.264800,1.049040,1.041600,1.339200,1.019280
,,,,0.974640,1.011840,,1.041600,1.026720,1.019280,1.108560,1.056480
,,,,0.996960,0.989520,,0.959760,,1.272240,1.049040,1.227600
,,,,1.049040,1.049040,,1.242480,,1.071360,,1.004400
,,,,1.093680,1.220160,,1.264800,,,,
,,,,,1.026720,,,,,,
,,,,,1.026720,,,,,,
,,,,,1.294560,,,,,,
